#
#   DShield.org Recommended Block List 
#    (c) $year DShield.org
#   some rights reserved. Details http://creativecommons.org/licenses/by-nc-sa/2.5/
#   use on your own risk. No warranties implied.
#   primary URL: https://feeds.dshield.org/block.txt
#     PGP Sign.: https://feeds.dshield.org/block.txt.asc
#
#   comments: systems@isc.sans.edu
#    updated: 2023-06-09T23:45:37.646306
#   
#    This list summarizes the top 20 attacking class C (/24) subnets
#   over the last three days. The number of 'attacks' indicates the 
#   number of targets reporting scans from this subnet.
#
#
#    Columns (tab delimited):
#
#    (1) start of netblock  
#    (2) end of netblock
#    (3) subnet (/24 for class C)
#    (4) number of targets scanned
#    (5) name of Network 
#    (6) Country
#    (7) contact email address
#
#    If a range is assigned to multiple users, the first one is listed. 
#     
80.94.95.0	80.94.95.229	24	9276	DATACENTER	RO	>>UNKNOWN<<
89.248.165.0	89.248.165.57	24	9187	INT-NETWORK	SC	abuse@ipvolume.net
89.248.163.0	89.248.163.246	24	8047	INT-NETWORK	SC	abuse@ipvolume.net
94.102.61.0	94.102.61.4	24	7559	INT-NETWORK	SC	abuse@ipvolume.net
162.216.150.0	162.216.150.180	24	7123	GOOGLE	US	network-abuse@google.com
35.203.211.0	35.203.211.30	24	7071	GOOGLE	US	network-abuse@google.com
162.216.149.0	162.216.149.82	24	7067	GOOGLE	US	network-abuse@google.com
35.203.210.0	35.203.210.220	24	7057	GOOGLE	US	network-abuse@google.com
176.111.174.0	176.111.174.86	24	5963	-	-	-
198.235.24.0	198.235.24.176	24	4754	GOOGLE-CLOUD-PLATFORM	US	None
205.210.31.0	205.210.31.106	24	4512	GOOGLE-CLOUD-PLATFORM	US	None
167.248.133.0	167.248.133.169	24	4190	CENSYS-ARIN-03	US	None
167.94.138.0	167.94.138.96	24	4059	CENSYS-ARIN-01	US	None
183.136.225.0	183.136.225.10	24	3699	CHINANET-BACKBONE No.31,Jin-rong Street	CN	anti-spam@ns.chinanet.cn.net
92.63.197.0	92.63.197.94	24	3284	SIBIRINVEST	NL	qwalarty@ukr.net
79.124.60.0	79.124.60.130	24	3199	TAMATIYA-AS	BG	noc@4vendeta.com
185.156.73.0	185.156.73.57	24	3043	SIBIRINVEST	NL	qwalarty@ukr.net
62.122.184.0	62.122.184.188	24	2924	ASBAXETN	RU	radu.rcg@gmail.com
64.62.197.0	64.62.197.122	24	2918	HURRICANE	US	abuse@he.net
194.26.135.0	194.26.135.31	24	2829	ASBAXETN	RU	radu.rcg@gmail.com
